#t/Tc	(Rf-Ro)/Ro	r085	#t/Tc	(Rf-Ro)/Ro	r09	#t/Tc	(Rf-Ro)/Ro	r075	#t/Tc	(Rf-Ro)/Ro	r08
0.0136515941	0	0	0.0136515805	0	0	0.0136517262	0	0	0.0136516124	0	0
0.0273031934	0.010506555	0.0089538051	0.0273031661	0.0073915124	0.0062513991	0.0273034576	0.0116890962	0.0102053135	0.0273032298	0.0008266521	0.0100209541
0.0409547773	0.0150926385	0.0242527037	0.0409547363	0.0152334093	0.0203575197	0.0409551736	0.0095953953	0.0299503765	0.040954832	0.020769583	0.0283468004
0.0546063868	0.0260980377	0.0426979659	0.0546063322	0.0363826708	0.0369499696	0.0546069152	0.0419228581	0.0522589599	0.0546064597	0.0261442226	0.0486149586
0.0682579707	0.0543267726	0.0583378437	0.0682579024	0.0550882454	0.0534792619	0.0682586312	0.0458228265	0.0776551204	0.0682580618	0.0283491618	0.0698212945
0.0819095802	0.0781379741	0.0800541889	0.0819094982	0.0589247217	0.073287151	0.0819103728	0.0542560776	0.1042720809	0.0819096895	0.0862396258	0.0914981184
0.0955611641	0.1048217333	0.1083410817	0.0955610685	0.0924057145	0.0959595152	0.0955620888	0.1271817224	0.1397004683	0.0955612917	0.0920033723	0.1151724177
0.1092127736	0.1122299295	0.1374926148	0.1092126643	0.0896990029	0.1218149404	0.1092138304	0.1000656934	0.1745892092	0.1092129194	0.1413951325	0.1493597446
0.1228643576	0.1244500103	0.1682467107	0.1228642346	0.1070918564	0.1469816283	0.1228655464	0.2076374847	0.2155895457	0.1228645215	0.1502645287	0.1840771201
0.1365159415	0.1985403804	0.1993138041	0.1365158048	0.1320275515	0.1758182501	0.1365172624	0.1259471194	0.2613663528	0.1365161237	0.2284498012	0.2266672743
0.150167551	0.2417064154	0.243822598	0.1501674007	0.1775744486	0.2095192031	0.150169004	0.2455767065	0.3181403544	0.1501677514	0.2618045114	0.2818638679
0.1638191349	0.2693962704	0.3012366396	0.1638189709	0.1867238622	0.252464344	0.16382072	0.283794955	0.3719315105	0.1638193535	0.2546840948	0.3444403671
0.1774707444	0.2930657457	0.3541523926	0.1774705667	0.2219375347	0.2959962905	0.1774724616	0.2995001139	0.4467081168	0.1774709812	0.290362638	0.4084866916
0.1911223283	0.3224523115	0.3968707453	0.191122137	0.2958810824	0.3398688082	0.1911241776	0.4564219972	0.52889187	0.1911225834	0.444160754	0.4719613952
0.2047739378	0.372395581	0.4408878574	0.2047737328	0.3371062888	0.3808872438	0.2047759191	0.4688773159	0.6144622044	0.2047742111	0.3667240719	0.5423347236
0.2184255217	0.5085311962	0.5062131788	0.2184253031	0.3358484145	0.4184368105	0.2184276352	0.5739875075	0.6873804283	0.2184258132	0.5148413068	0.633424313
0.2320771312	0.4831622076	0.5855334428	0.2320768989	0.3813949113	0.4662087077	0.2320793767	0.7634350146	0.7608486919	0.2320774409	0.5985261174	0.7342802254
0.2457287151	0.4972443464	0.6809109145	0.2457284692	0.4611037826	0.5272540853	0.2457310927	0.7252776155	0.8412831913	0.2457290431	0.6942836509	0.8408927199
0.2593803502	0.5590289594	0.7859061615	0.2593800906	0.4953514301	0.6302136964	0.2593828599	0.9119752887	0.9189838818	0.2593806964	0.6996674977	0.9438252551
0.2730319341	0.7965152171	0.8960632679	0.2730316608	0.5560104329	0.7372665569	0.2730345759	1.0301232722	1.029507067	0.2730322985	0.8054853669	1.0479410055
0.286683518	0.7916853166	1.0045718411	0.2866832311	0.7472085161	0.8374276486	0.2866862919	1.1464785992	1.1433304899	0.2866839006	0.9230821272	1.1484963172
0.3003351019	0.9763561475	1.1127230456	0.3003348013	0.8234091914	0.9309819801	0.3003380079	1.0453712596	1.2633322647	0.3003355028	1.0850775091	1.2464073826
0.3139866858	0.9761607736	1.22308402	0.3139863716	0.9009478094	1.0160060439	0.3139897239	1.3645209368	1.3800178123	0.3139871049	1.1756537557	1.3435397644
0.3276382698	1.2605259723	1.3340545999	0.3276379418	0.9332574018	1.0908985162	0.3276414399	1.4184903816	1.5073567798	0.327638707	1.1927228198	1.4459178673
0.3412898537	1.135014617	1.4463695097	0.3412895121	1.0137393334	1.1618620287	0.3412931559	1.4243707588	1.6329708775	0.3412903092	1.4970929069	1.5538978549
0.3549414376	1.270362731	1.5680563539	0.3549410823	1.2419390159	1.2407977839	0.3549448719	1.5082609112	1.7647297491	0.3549419113	1.2785749399	1.6667737956
0.3685930215	1.5145825843	1.6961846293	0.3685926526	1.2598242899	1.3824046241	0.3685965879	1.6242259211	1.8897862121	0.3685935134	1.4276453266	1.7786152224
0.3822446054	1.6311367642	1.8261972851	0.3822442228	1.468949683	1.5285152378	0.3822483039	1.8765689246	2.0145856435	0.3822451155	1.640038062	1.8918837027
